評等日期,公司代碼,券商,原評等,升/降,新評等,財測EPS(年度),舊目標價,新目標價,現價,備註
20200428,2454-聯發科,亞系券商,買進,重申,買進,,465.0,440.0,368.0,--
20200427,2454-聯發科,亞系券商,買進,重申,買進,,465.0,440.0,368.0,--
20200427,3034-聯詠,亞系券商,持有,降級,減碼,,193.0,144.0,185.0,--
20200424,6462-,歐系券商,超越市場表現,降級,中立,,195.0,160.0,161.0,--
20200424,6462-,美系券商,中立,降級,減碼,,145.0,139.0,161.0,--
20200423,8046-南電,亞系券商,買進,降級,低於市場表現,,57.0,68.0,64.5,--
20200422,2454-聯發科,亞系券商,買進,降級,持有,,437.0,300.0,368.0,--
20200422,8406-F-金可,亞系券商,超越市場表現,重申,超越市場表現,,160.0,160.0,141.0,--
20200422,8406-F-金可,美系券商,中立,重申,中立,,150.0,150.0,141.0,--
20200421,8406-F-金可,亞系券商,低於市場表現,重申,低於市場表現,,153.0,116.0,141.0,--
20200421,3406-玉晶光,美系券商,加碼,重申,加碼,,670.0,650.0,465.5,--
20200421,2379-瑞昱,亞系券商,賣出,升級,買進,,225.0,260.0,230.5,--
20200420,8436-大江,歐系券商,中立,重申,中立,,265.0,245.0,233.5,--
20200420,2379-瑞昱,亞系券商,賣出,升級,買進,,225.0,260.0,230.5,--
20200417,2330-台積電,美系券商,買進,重申,買進,,,327.0,306.5,--
20200417,2330-台積電,亞系券商,中立,重申,中立,,289.0,279.0,306.5,--
20200416,4958-F-臻鼎,歐系券商,買進,重申,買進,,,130.0,102.5,--
20200416,6415-F-矽力,美系券商,無,首次,加碼,,,1300.0,1200.0,--
20200415,6415-F-矽力,美系券商,-,首次,加碼,,,1300.0,1200.0,--
20200414,6147-頎邦,美系券商,中立,重申,中立,,56.0,50.0,56.0,--
20200414,3034-聯詠,美系券商,減碼,重申,減碼,,170.0,165.0,185.0,--
20200414,5347-世界,美系券商,中立,升級,買進,,79.0,75.0,68.2,--
20200413,2330-台積電,美系券商,買進,重申,買進,,,305.0,306.5,--
20200410,3037-欣興,美系券商,加碼,重申,加碼,,,60.0,38.1,--
20200409,3037-欣興,美系券商,加碼,重申,加碼,,,60.0,38.1,--
20200408,3008-大立光,美系券商,買進,重申,買進,,4150.0,4290.0,3850.0,--
20200407,3008-大立光,美系券商,加碼,重申,加碼,,,4400.0,3850.0,--
20200407,6213-聯茂,美系券商,買進,重申,買進,,155.0,176.0,143.0,--
20200407,2317-鴻海,美系券商,買進,重申,買進,,,90.0,75.8,--
20200407,2317-鴻海,亞系券商,超越市場表現,重申,超越市場表現,,,82.0,75.8,--
20200401,2330-台積電,美系券商,加碼,重申,加碼,,335.0,325.0,306.5,--
20200331,2376-技嘉,歐系券商,中立,升級,超越市場表現,,49.0,56.0,53.2,--
20200331,2317-鴻海,亞系券商,買進,降級,中立,,100.0,75.0,75.8,--
20200330,2317-鴻海,亞系券商,超越市場表現,降級,超越市場表現,,92.0,82.0,75.8,--
20200327,6176-瑞儀,美系券商,加碼,重申,加碼,,143.0,118.0,92.8,--
20200327,6176-瑞儀,歐系券商,中立,重申,中立,,126.0,90.0,92.8,--
20200327,8406-F-金可,歐系券商,超越市場表現,重申,超越市場表現,,265.0,200.0,141.0,--
20200325,2330-台積電,亞系券商,買進,重申,買進,,395.0,310.0,306.5,--
20200325,2330-台積電,美系券商,買進,重申,買進,,350.0,320.0,306.5,--
20200324,2330-台積電,美系券商,加碼,重申,加碼,,338.0,338.0,306.5,--
20200324,3008-大立光,美系券商,買進,重申,買進,,5500.0,4150.0,3850.0,--
20200319,8406-F-金可,美系券商,加碼,降級,中立,,215.0,150.0,141.0,--
20200319,1565-精華,美系券商,減碼,重申,減碼,,292.0,270.0,328.0,--
20200316,2330-台積電,亞系券商,超越市場表現,重申,超越市場表現,,380.0,336.0,306.5,--
20200313,2330-台積電,美系券商,買進,重申,買進,,365.0,350.0,306.5,--
20200312,2330-台積電,美系券商,加碼,重申,加碼,,370.0,335.0,306.5,--
20200311,2474-可成,美系券商,減碼,重申,減碼,,,195.0,217.0,--
20200311,6505-台塑化,美系券商,加碼,降級,減碼,,115.0,70.0,82.6,--
20200311,1326-台化,美系券商,減碼,重申,減碼,,75.0,65.0,71.1,--
20200311,1303-南亞,美系券商,中立,重申,中立,,,75.0,60.1,--
20200311,2474-可成,亞系券商,減碼,重申,減碼,,215.0,195.0,217.0,--
20200311,1301-台塑,美系券商,加碼,重申,加碼,,115.0,100.0,83.2,--
20200306,3081-聯亞,美系券商,中立,降級,減碼,,230.0,210.0,258.0,--
20200306,6415-F-矽力,美系券商,中立,升級,加碼,,999.0,1298.0,1200.0,--
20200305,2327-國巨,亞系券商,--,首次,超越市場表現,,,570.0,339.5,--
20200305,2327-國巨,美系券商,加碼,重申,加碼,,,566.0,339.5,--
20200305,5274-信驊,亞系券商,中立,升級,買進,,831.0,1150.0,1085.0,--
20200305,2330-台積電,美系券商,加碼,重申,加碼,,,368.0,306.5,--
20200304,8436-大江,亞系券商,中立,重申,中立,,330.0,255.0,233.5,--
20200304,8436-大江,美系券商,賣出,重申,賣出,,,190.0,233.5,--
20200303,8436-大江,亞系券商,低於市場表現,重申,低於市場表現,,288.0,210.0,233.5,--
20200303,6412-群電,美系券商,加碼,重申,加碼,,75.0,75.0,56.8,--
20200303,3008-大立光,亞系券商,買進,重申,買進,,5500.0,5240.0,3850.0,--
20200302,8436-大江,亞系券商,減碼,重申,減碼,,,190.0,233.5,--
20200227,2317-鴻海,美系券商,加碼,重申,加碼,,105.0,105.0,75.8,--
20200226,2379-瑞昱,歐系券商,中立,降級,賣出,,230.0,200.0,230.5,--
20200225,4915-致伸,亞系券商,買進,降級,中立,,67.0,56.0,47.75,--
20200225,4551-智伸科,亞系券商,無,首次,買進,,,200.0,133.0,--
20200219,2439-美律,亞系券商,中立,重申,中立,,164.0,152.0,132.0,--
20200219,2439-美律,美系券商,中立,重申,中立,,145.0,140.0,132.0,--
20200217,3105-穩懋,美系券商,加碼,降級,中立,,345.0,285.0,274.0,--
20200213,3443-創意,美系券商,中立,降級,減碼,,265.0,218.0,243.5,--
20200213,3443-創意,亞系券商,中立,重申,中立,,,257.0,243.5,--
20200210,2454-聯發科,歐系券商,超越市場表現,重申,超越市場表現,,500.0,480.0,368.0,--
20200210,2454-聯發科,亞系券商,買進,重申,買進,,510.0,523.0,368.0,--
20200210,2454-聯發科,美系券商,買進,重申,買進,,460.0,450.0,368.0,--
20200209,2454-聯發科,美系券商,買進,重申,買進,,440.0,420.0,368.0,--
20200208,2454-聯發科,美系券商,加碼,重申,加碼,,510.0,470.0,368.0,--
20200207,2327-國巨,美系券商,加碼,重申,加碼,,420.0,505.0,339.5,--
20200205,2408-南亞科,美系券商,中立,升級,加碼,,70.0,105.0,61.1,--
20200120,1477-聚陽,亞系券商,買進,降級,低於市場表現,,180.0,153.0,116.5,--
20200120,1477-聚陽,歐系券商,低於市場表現,重申,低於市場表現,,,145.0,116.5,--
